accel_x_mean,accel_x_median,accel_x_95,accel_x_max,accel_x_min,accel_x_range,accel_x_std_dev,accel_x_rms,accel_x_dom_freq,accel_x_dom_freq_2,accel_y_mean,accel_y_median,accel_y_95,accel_y_max,accel_y_min,accel_y_range,accel_y_std_dev,accel_y_rms,accel_y_dom_freq,accel_y_dom_freq_2,accel_z_mean,accel_z_median,accel_z_95,accel_z_max,accel_z_min,accel_z_range,accel_z_std_dev,accel_z_rms,accel_z_dom_freq,accel_z_dom_freq_2,gyro_x_mean,gyro_x_median,gyro_x_95,gyro_x_max,gyro_x_min,gyro_x_range,gyro_x_std_dev,gyro_x_rms,gyro_x_dom_freq,gyro_x_dom_freq_2,gyro_y_mean,gyro_y_median,gyro_y_95,gyro_y_max,gyro_y_min,gyro_y_range,gyro_y_std_dev,gyro_y_rms,gyro_y_dom_freq,gyro_y_dom_freq_2,gyro_z_mean,gyro_z_median,gyro_z_95,gyro_z_max,gyro_z_min,gyro_z_range,gyro_z_std_dev,gyro_z_rms,gyro_z_dom_freq,gyro_z_dom_freq_2,rot_x_mean,rot_x_median,rot_x_95,rot_x_max,rot_x_min,rot_x_range,rot_x_std_dev,rot_x_rms,rot_x_dom_freq,rot_x_dom_freq_2,rot_y_mean,rot_y_median,rot_y_95,rot_y_max,rot_y_min,rot_y_range,rot_y_std_dev,rot_y_rms,rot_y_dom_freq,rot_y_dom_freq_2,rot_z_mean,rot_z_median,rot_z_95,rot_z_max,rot_z_min,rot_z_range,rot_z_std_dev,rot_z_rms,rot_z_dom_freq,rot_z_dom_freq_2
-9.148084402,-9.021439552,-7.935520172,-7.759590149,-10.5092001,2.749609947,0.758423039,9.179469142,0,1,3.400105008,3.394850016,3.760420084,4.092100143,2.706549883,1.385550261,0.211671756,3.406687394,0,63,-1.076160016,-1.044919968,-0.884301007,-0.859431982,-1.333739996,0.474308014,0.119663696,1.082792584,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572556046,0.572556019,0.572556078,0.572556078,0.572556019,5.96E-08,2.97E-08,0.572556046,0,63,0.474641678,0.474641651,0.474641711,0.474641711,0.474641651,5.96E-08,2.97E-08,0.474641678,0,1,-0.323328419,-0.323328406,-0.323328406,-0.323328406,-0.323328435,2.98E-08,1.49E-08,0.323328419,0,1
-9.137072124,-9.151399612,-8.315299988,-8.173469543,-10.38300037,2.20953083,0.483348073,9.149847669,0,63,3.371490612,3.364190102,3.586139917,3.68144989,3.06566,0.61578989,0.120642882,3.373648419,0,1,-1.078324099,-1.08178997,-0.940999985,-0.938354015,-1.283380032,0.345026016,0.072197901,1.080738358,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572556055,0.572556078,0.572556078,0.572556078,0.572556019,5.96E-08,2.92E-08,0.572556055,0,63,0.474641687,0.474641711,0.474641711,0.474641711,0.474641651,5.96E-08,2.92E-08,0.474641687,0,1,-0.323328424,-0.323328435,-0.323328406,-0.323328406,-0.323328435,2.98E-08,1.46E-08,0.323328424,0,1
-9.146310759,-9.092060089,-8.232589722,-7.833119869,-10.34449959,2.511379719,0.555790077,9.163181931,0,1,3.364148808,3.402050018,3.741580009,3.80685997,2.523770094,1.283089876,0.199104201,3.370035561,0,1,-1.080930246,-1.071490049,-0.974646986,-0.94947201,-1.251129985,0.301657975,0.075435508,1.08355928,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572556058,0.572556078,0.572556078,0.572556078,0.572556019,5.96E-08,2.82E-08,0.572556058,0,63,0.47464169,0.474641711,0.474641711,0.474641711,0.474641651,5.96E-08,2.82E-08,0.47464169,0,1,-0.323328425,-0.323328435,-0.323328406,-0.323328406,-0.323328435,2.98E-08,1.41E-08,0.323328425,0,1
-9.157046738,-9.151399612,-8.266960144,-8.170780182,-10.72249985,2.551719666,0.571007957,9.174832698,0,1,3.366341591,3.381520033,3.497999907,3.878269911,3.115720034,0.762549877,0.117274657,3.368383745,0,1,-1.082447256,-1.08178997,-0.936959982,-0.923491001,-1.276469946,0.352978945,0.091156861,1.086278802,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572556058,0.572556078,0.572556078,0.572556078,0.572556019,5.96E-08,2.82E-08,0.572556058,0,63,0.47464169,0.474641711,0.474641711,0.474641711,0.474641651,5.96E-08,2.82E-08,0.47464169,0,1,-0.323328425,-0.323328435,-0.323328406,-0.323328406,-0.323328435,2.98E-08,1.41E-08,0.323328425,0,1
-9.204429185,-9.135430336,-8.521900177,-8.301130295,-12.3671999,4.066069603,0.71123553,9.231867233,0,1,3.46666355,3.458920002,4.187029839,4.312170029,2.258869886,2.053300142,0.501326537,3.502725292,0,1,-1.076354716,-1.08178997,-0.890954971,-0.858681023,-1.603839993,0.74515897,0.13164052,1.084374797,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568379939,0.568379939,0.568379939,0.568379939,0.568379939,0,0,0.568379939,0,63,0.481748194,0.481748194,0.481748194,0.481748194,0.481748194,0,0,0.481748194,0,1,-0.328759402,-0.328759402,-0.328759402,-0.328759402,-0.328759402,0,0,0.328759402,0,63
-9.110453777,-9.07201004,-8.595919609,-8.337530136,-10.3781004,2.040570259,0.416370129,9.119963383,0,1,3.332053185,3.384649992,3.900860071,4.162889957,2.266870022,1.896019936,0.460449484,3.363717014,0,1,-1.079358494,-1.064170003,-0.928224981,-0.879752994,-1.287510037,0.407757044,0.102285693,1.084194227,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568379939,0.568379939,0.568379939,0.568379939,0.568379939,0,0,0.568379939,0,63,0.481748194,0.481748194,0.481748194,0.481748194,0.481748194,0,0,0.481748194,0,1,-0.328759402,-0.328759402,-0.328759402,-0.328759402,-0.328759402,0,0,0.328759402,0,63
-9.1107271,-8.929800034,-8.653289795,-8.513959885,-10.98139954,2.467439651,0.483254736,9.123534591,0,63,3.368866601,3.527250051,3.974040031,3.996370077,1.869740009,2.126630068,0.509423849,3.407165219,0,1,-1.074213425,-1.054380059,-0.932950974,-0.913599014,-1.324609995,0.411010981,0.100252454,1.078881382,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568379939,0.568379939,0.568379939,0.568379939,0.568379939,0,0,0.568379939,0,63,0.481748194,0.481748194,0.481748194,0.481748194,0.481748194,0,0,0.481748194,0,1,-0.328759402,-0.328759402,-0.328759402,-0.328759402,-0.328759402,0,0,0.328759402,0,63
-9.16553381,-8.968099594,-8.736430168,-8.675319672,-11.70779991,3.03248024,0.548718158,9.181944327,0,1,3.373596804,3.56366992,3.957600117,4.20152998,1.992030025,2.209499955,0.521240517,3.413626675,0,63,-1.082866602,-1.039870024,-0.96251601,-0.942651987,-1.398440003,0.455788016,0.112077938,1.088651249,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568379939,0.568379939,0.568379939,0.568379939,0.568379939,0,0,0.568379939,0,63,0.481748194,0.481748194,0.481748194,0.481748194,0.481748194,0,0,0.481748194,0,1,-0.328759402,-0.328759402,-0.328759402,-0.328759402,-0.328759402,0,0,0.328759402,0,63
-9.196890707,-9.151399612,-8.505880356,-8.407090187,-10.2840004,1.87691021,0.389528905,9.205136145,0,1,3.369384284,3.364190102,3.701159954,3.904969931,2.948849916,0.956120014,0.159537227,3.37315914,0,1,-1.08879327,-1.08178997,-0.93294102,-0.904298007,-1.329589963,0.425291955,0.082481284,1.091912976,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568379939,0.568379939,0.568379939,0.568379939,0.568379939,0,0,0.568379939,0,63,0.481748194,0.481748194,0.481748194,0.481748194,0.481748194,0,0,0.481748194,0,1,-0.328759402,-0.328759402,-0.328759402,-0.328759402,-0.328759402,0,0,0.328759402,0,63
-9.110035114,-9.151399612,-8.472399712,-8.255000114,-9.931570053,1.676569939,0.290057443,9.114651562,0,63,3.389988222,3.364190102,3.573689938,3.910540104,3.163000107,0.747539997,0.132774938,3.392587409,0,1,-1.07111618,-1.08178997,-0.946473002,-0.917186975,-1.193289995,0.27610302,0.055137285,1.072534378,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568379939,0.568379939,0.568379939,0.568379939,0.568379939,0,0,0.568379939,0,63,0.481748194,0.481748194,0.481748194,0.481748194,0.481748194,0,0,0.481748194,0,1,-0.328759402,-0.328759402,-0.328759402,-0.328759402,-0.328759402,0,0,0.328759402,0,63
